"Source:","F:\Electronics\Hardware\boost.brick\pcb\boost.brick.kicad_sch"
"Date:","9/6/2023 10:15:36 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","12"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Manufacturer","Specs","Type"
"1","1","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_Keystone_2460_1xAA","~","","","Keystone","1xAA","2460"
"2","2","C1, C2","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","10V",""
"3","1","L1","4.7u","Device:L_Iron","Inductor_SMD:L_Taiyo-Yuden_NR-30xx","~","","","Taiyo Yuden","","NR3015T4R7M"
"4","2","R1, R3","120k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","1%, 1/8W",""
"5","1","R2","15k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","1%, 1/8W",""
"6","1","TP1","VBat","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","",""
"7","1","TP2","EN","Connector:TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","",""
"8","1","TP3","VOut","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~","","","","",""
"9","1","TP4","GND","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~","","","","",""
"10","1","U1","TPS61220DCK","Regulator_Switching:TPS61220DCK","Package_TO_SOT_SMD:Texas_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tps61220.pdf","","","Texas Instruments","","TPS61220DCK"
